checked_at,date,slot,remaining,is_full
2026-08-07T14:40:21.653Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T14:40:21.653Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-07T15:36:30.212Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T15:36:30.212Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-07T16:31:40.244Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T16:31:40.244Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-07T18:25:12.293Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T18:25:12.293Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-07T19:29:17.018Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T19:29:17.018Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-07T20:09:13.940Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T20:09:13.940Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-07T20:58:16.166Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T20:58:16.166Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-07T21:46:40.373Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T21:46:40.373Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-07T22:21:00.682Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T22:21:00.682Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-07T23:42:45.144Z,2026-08-07,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-07T23:42:45.144Z,2026-08-07,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-09T18:04:32.213Z,2026-08-19,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-09T18:04:32.213Z,2026-08-19,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-09T23:40:08.455Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　2名",2,0
2026-08-09T23:40:08.455Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T00:05:36.598Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　3名",3,0
2026-08-10T00:05:36.598Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T02:30:49.588Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　7名",7,0
2026-08-10T02:30:49.588Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　3名",3,0
2026-08-10T05:49:32.899Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　8名",8,0
2026-08-10T05:49:32.899Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　7名",7,0
2026-08-10T07:01:00.601Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　8名",8,0
2026-08-10T07:01:00.601Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　8名",8,0
2026-08-10T08:47:34.271Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T08:47:34.271Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　8名",8,0
2026-08-10T10:05:08.751Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T10:05:08.751Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　8名",8,0
2026-08-10T11:19:09.779Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T11:19:09.779Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T12:05:21.370Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T12:05:21.370Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T13:39:18.945Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T13:39:18.945Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T14:43:31.487Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T14:43:31.487Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T15:42:06.057Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T15:42:06.057Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T16:34:51.169Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T16:34:51.169Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T17:32:40.099Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T17:32:40.099Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T18:29:09.633Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T18:29:09.633Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T19:34:39.726Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T19:34:39.726Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T20:20:00.969Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T20:20:00.969Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T21:07:32.986Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T21:07:32.986Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T21:56:45.801Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T21:56:45.801Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T22:40:24.630Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T22:40:24.630Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T23:19:00.168Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T23:19:00.168Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-10T23:55:51.541Z,2026-08-10,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-10T23:55:51.541Z,2026-08-10,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-11T10:55:13.445Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-11T10:55:13.445Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-11T23:34:07.679Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　1名",1,0
2026-08-11T23:34:07.679Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T00:39:59.927Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　2名",2,0
2026-08-12T00:39:59.927Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T03:11:07.559Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　3名",3,0
2026-08-12T03:11:07.559Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　1名",1,0
2026-08-12T05:03:14.076Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　3名",3,0
2026-08-12T05:03:14.076Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　1名",1,0
2026-08-12T06:24:06.658Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　3名",3,0
2026-08-12T06:24:06.658Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　3名",3,0
2026-08-12T07:59:29.045Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　4名",4,0
2026-08-12T07:59:29.045Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　4名",4,0
2026-08-12T09:19:52.631Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T09:19:52.631Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　4名",4,0
2026-08-12T10:32:14.830Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T10:32:14.830Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　4名",4,0
2026-08-12T11:25:30.605Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T11:25:30.605Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T12:09:44.951Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T12:09:44.951Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T13:46:36.663Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T13:46:36.663Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T14:46:38.574Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T14:46:38.574Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T15:44:05.013Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T15:44:05.013Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T16:39:25.973Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T16:39:25.973Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T17:41:46.767Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T17:41:46.767Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T18:37:53.361Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T18:37:53.361Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T19:47:12.616Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T19:47:12.616Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T20:26:52.010Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T20:26:52.010Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T21:21:35.545Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T21:21:35.545Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T22:08:10.693Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T22:08:10.693Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T22:59:56.269Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T22:59:56.269Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T22:59:56.269Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T22:59:56.269Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T23:52:40.384Z,2026-08-12,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-12T23:52:40.384Z,2026-08-12,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-12T23:52:40.384Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　2名",2,0
2026-08-12T23:52:40.384Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T01:10:33.070Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　2名",2,0
2026-08-13T01:10:33.070Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T03:33:50.191Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　10名",10,0
2026-08-13T03:33:50.191Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　4名",4,0
